Precinct,Address,City,Zip,County,geometry,lon,lat
	Meadowlake Elementary School,8251 Three Notch Rd.,Tillman's Corner,36619,Mobile,POINT (-88.23616771 30.58920000000002),-88.23616771,30.58920000000002
Cypress Shores Baptist Church,4327 Higgins Rd.,Tillman's Corner,36619,Mobile,POINT (-88.14068366999997 30.592699999999976),-88.14068366999997,30.592699999999976
Our Lady of Lourdes Catholic Church,1621 Boykin Blvd.,Mobile,36605,Mobile,POINT (-88.08058929000003 30.593421940000024),-88.08058929000003,30.593421940000024
Burns Middle School,6175 Girby Rd,Mobile,36693,Mobile,POINT (-88.18338775999997 30.616838460000043),-88.18338775999997,30.616838460000043
Palmer Pillans Middle School,2051 Military Rd.,Mobile,36605,Mobile,POINT (-88.08550262000004 30.628217700000008),-88.08550262000004,30.628217700000008
Surge Church,2900 Dawes Rd.,Mobile,36695,Mobile,POINT (-88.2514 30.63050000000002),-88.2514,30.63050000000002
Dodge Elementary School,2615 Longleaf Dr,Mobile,36698,Mobile,POINT (-88.16373444000001 30.63532639000003),-88.16373444000001,30.63532639000003
Clearwater Christian Church,2524 Newman Rd,Mobile,36695,Mobile,POINT (-88.3264 30.63855675999997),-88.3264,30.63855675999997
The Grand Hall,3556 Halls Mill Rd.,Mobile,36693,Mobile,POINT (-88.12290191999998 30.63874435000004),-88.12290191999998,30.63874435000004
Cottage Hill Baptist Church,4255 Cottage Hill Rd,Mobile,36609,Mobile,POINT (-88.15506744000002 30.648811339999963),-88.15506744000002,30.648811339999963
Our Savior Catholic Church,1801 S. Cody Rd.,Mobile,36695,Mobile,POINT (-88.20760000000001 30.651099999999968),-88.20760000000001,30.651099999999968
	Creekwood Church of Christ,1901 Schillinger Rd.,Mobile,36695,Mobile,POINT (-88.22499763000003 30.651761449999984),-88.22499763000003,30.651761449999984
Eichold Mertz Elementary School,2815 Government Blvd,Mobile,36606,Mobile,POINT (-88.10794067000002 30.66030884000003),-88.10794067000002,30.66030884000003
Revelation Missionary Baptist Church,1711 Taylor Lane,Mobile,36605,Mobile,POINT (-88.07937622000003 30.66033363000004),-88.07937622000003,30.66033363000004
Davidson High School,3900 Pleasant Valley Rd.,Mobile,36609,Mobile,POINT (-88.14656829999997 30.662464140000015),-88.14656829999997,30.662464140000015
Regency Church of Christ,501 University Blvd. S.,Mobile,36609,Mobile,POINT (-88.16707214999995 30.663593039999984),-88.16707214999995,30.663593039999984
Craighead Elementary School,1100 S. Ann St.,Mobile,36605,Mobile,POINT (-88.06816863999997 30.665185929999975),-88.06816863999997,30.665185929999975
Abba Shrine Temple,7701 Hitt. Rd,Mobile,36695,Mobile,POINT (-88.22322083000002 30.667026520000032),-88.22322083000002,30.667026520000032
Baker High School,8901 Airport Blvd.,Mobile,36608,Mobile,POINT (-88.25361784000002 30.67312670000001),-88.25361784000002,30.67312670000001
Friendship Missionary Baptist Church,545 N. Cody Rd.,Mobile,36608,Mobile,POINT (-88.20789999999997 30.678789999999992),-88.20789999999997,30.678789999999992
Leinkauf Elementary School,1410 Monroe St.,Mobile,36604,Mobile,POINT (-88.06939696999999 30.67945480000002),-88.06939696999999,30.67945480000002
Three Circle Church Midtown,150 S. Sage Ave,Mobile,36606,Mobile,POINT (-88.11516570999999 30.68242454999998),-88.11516570999999,30.68242454999998
VIA! Senior Center,1717 Dauphin St,Mobile,36604,Mobile,POINT (-88.07894897000003 30.68622589),-88.07894897000003,30.68622589
Gracepointe Mobile,6819 Old Shell Rd.,Mobile,36608,Mobile,POINT (-88.19994057999999 30.691026089999976),-88.19994057999999,30.691026089999976
Phillips Preparatory School,3255 Old Shell Rd,Mobile,36607,Mobile,POINT (-88.11952209 30.696882250000016),-88.11952209,30.696882250000016
St. Paul's Episcopal Church,4051 Old Shell Rd.,Mobile,36608,Mobile,POINT (-88.13877869000001 30.69792174999996),-88.13877869000001,30.69792174999996
Thomas Sullivan Community Center,351 N. Catherine St,Mobile,36603,Mobile,POINT (-88.0729599 30.700519559999965),-88.0729599,30.700519559999965
Mobile Museum of Art,4850 Museum Dr.,Mobile,36608,Mobile,POINT (-88.15471649000003 30.704557420000015),-88.15471649000003,30.704557420000015
Mobile Community Action Inc.,461 Donald St.,Mobile,36617,Mobile,POINT (-88.08309173999996 30.704603199999983),-88.08309173999996,30.704603199999983
Holloway Elementary School,625 Stanton Rd.,Mobile,36617,Mobile,POINT (-88.09780120999996 30.70985030999999),-88.09780120999996,30.70985030999999
Michael A. Figures Community Center,658 Donald St.,Mobile,36617,Mobile,POINT (-88.08602141999998 30.712408069999967),-88.08602141999998,30.712408069999967
Boys and Girls Club of Mobile,712 Rice St,Mobile,36607,Mobile,POINT (-88.11139678999999 30.713035580000017),-88.11139678999999,30.713035580000017
St. John United Methodist Church,6215 Overlook Rd.,Mobile,36618,Mobile,POINT (-88.18793487999997 30.718732829999965),-88.18793487999997,30.718732829999965
Forest Hill Elementary School,4501 Moffett Rd,Mobile,36618,Mobile,POINT (-88.14562988000004 30.718915940000016),-88.14562988000004,30.718915940000016
Tanner Williams Assembly of God,14440 Tanner Williams Rd,Wilmer,36587,Mobile,POINT (-88.38641821999995 30.722018480000038),-88.38641821999995,30.722018480000038
Collier Elementary School,601 Snow Rd. N.,Mobile,36608,Mobile,POINT (-88.27620000000002 30.72299999999998),-88.27620000000002,30.72299999999998
Independent Living Center,6750 Howells Ferry Rd.,Mobile,36618,Mobile,POINT (-88.20000457999996 30.72382735999996),-88.20000457999996,30.72382735999996
Collins-Rhodes Elementary School,5110 St. Stephens Rd.,Eight Mile,36613,Mobile,POINT (-88.09859131999995 30.730249590000028),-88.09859131999995,30.730249590000028
Sunlight Auditorium,809 Seminary St.,Prichard,36610,Mobile,POINT (-88.09280614000002 30.73043318000003),-88.09280614000002,30.73043318000003
Holy Name of Jesus Catholic Church,2275 Snow Rd. N.,Semmes,36575,Mobile,POINT (-88.27630000000002 30.73784999999997),-88.27630000000002,30.73784999999997
Robert L. Hope Community Center,850 Edwards St,Prichard,36610,Mobile,POINT (-88.06925 30.738199999999974),-88.06925,30.738199999999974
Fort Morgan Volunteer Fire Department No. 1,12105 State Highway 180 W,Gulf Shores,36542,Baldwin,POINT (-87.88689999999995 30.238500000000027),-87.88689999999995,30.238500000000027
Gulf Shores Meyer Civic Center,1930 W. 2nd Street,Gulf Shores,36542,Baldwin,POINT (-87.69170000000003 30.272499999999983),-87.69170000000003,30.272499999999983
Gulf Shores Cultural Center,19470 Oak Road W,Gulf Shores,36542,Baldwin,POINT (-87.69100000000002 30.311899999999984),-87.69100000000002,30.311899999999984
Bon Secour Morgan's Chapel United Methodist Church,6325 Bon Secour Highway,Bon Secour,36511,Baldwin,POINT (-87.72953916000002 30.315743680000043),-87.72953916000002,30.315743680000043
Graham Creek Interpretive Center,23030 Wolf Bay Drive,Foley,36535,Baldwin,POINT (-87.63260000000002 30.351195140000012),-87.63260000000002,30.351195140000012
Magnolia Springs Wesleyan Church,12233 Magnolia Springs Highway,Magnolia Springs,36555,Baldwin,POINT (-87.77164141999997 30.402058580000016),-87.77164141999997,30.402058580000016
Foley Civic Center,407 E Laurel Avenue,Foley,36535,Baldwin,POINT (-87.67818332999995 30.40620000000002),-87.67818332999995,30.40620000000002
St. Margaret of Scotland Parish Church,601 W Laurel Avenue,Foley,36535,Baldwin,POINT (-87.69536511999996 30.406599999999987),-87.69536511999996,30.406599999999987
Foley United Methodist Church,915 North Pine Street,Foley,36535,Baldwin,POINT (-87.68749999999997 30.415142860000014),-87.68749999999997,30.415142860000014
Rosinton United Methodist Church,26011 Baldwin Beach Express,Robertsdale,36567,Baldwin,POINT (-87.66639999999995 30.465400000000034),-87.66639999999995,30.465400000000034
Point Clear St Francis at the Point Anglican Church,17280 Scenic Highway 98,Fairhope,36532,Baldwin,POINT (-87.92182589999996 30.47732590000002),-87.92182589999996,30.47732590000002
Summerdale Community Center,300 W Jackson Street,Summerdale,36580,Baldwin,POINT (-87.69430000000003 30.487672569999994),-87.69430000000003,30.487672569999994
First Fairhope Baptist Church,300 South Section Street,Fairhope,36532,Baldwin,POINT (-87.90299999999998 30.51550000000002),-87.90299999999998,30.51550000000002
PZK Hall,17933 State Highway 104,Robertsdale,36567,Baldwin,POINT (-87.71753684000002 30.545599999999965),-87.71753684000002,30.545599999999965
Daphne Civic Center,2603 U S Highway 98,Daphne,36526,Baldwin,POINT (-87.89130321000003 30.550908030000038),-87.89130321000003,30.550908030000038
Bethel Baptist Church,22250 US Highway 90,Robertsdale,36567,Baldwin,POINT (-87.64486693999999 30.56698417999996),-87.64486693999999,30.56698417999996
Barnwell Volunteer Fire Department,8587 U S Highway 98,Fairhope,36562,Baldwin,POINT (-87.89890000000003 30.584000000000003),-87.89890000000003,30.584000000000003
Loxley Civic Center,4198 Municipal Park Drive,Loxley,36551,Baldwin,POINT (-87.75299999999997 30.626800000000035),-87.75299999999997,30.626800000000035
Eastern Shore Baptist Church,6847 Park Drive,Daphne,36526,Baldwin,POINT (-87.90086384999998 30.63069999999996),-87.90086384999998,30.63069999999996
St. Paul's Episcopal Church,28788 North Main Street,Daphne,36526,Baldwin,POINT (-87.91112942 30.64823533),-87.91112942,30.64823533
Spanish Fort Community Center,7361 Spanish Fort Boulevard,Spanish Fort,36527,Baldwin,POINT (-87.89691627000003 30.671060220000005),-87.89691627000003,30.671060220000005
Spanish Fort Church of Christ,8100 Spanish Fort Boulevard,Spanish Fort,36527,Baldwin,POINT (-87.88453767999998 30.671499999999977),-87.88453767999998,30.671499999999977
Spanish Fort New Life Assembly of God Church,10424 Old Highway 31,Spanish Fort,36527,Baldwin,POINT (-87.85111423000004 30.67596738000004),-87.85111423000004,30.67596738000004
James Seals Jr. Park and Recreation Center,540 Texas St,Mobile,36602,Mobile,POINT (-88.04644011999999 30.678701400000033),-88.04644011999999,30.678701400000033
Robbins Elementary School,2416 W. Main St,Prichard,36610,Mobile,POINT (-88.09892593000002 30.744512959999973),-88.09892593000002,30.744512959999973
Hope Chapel A.M.E. Zion Church,1644 Wolf Ridge Rd,Whistler,36612,Mobile,POINT (-88.11606001999999 30.748696379999988),-88.11606001999999,30.748696379999988
J.C. Davis Auditorium,400 Grand Blvd,Chickasaw,36611,Mobile,POINT (-88.09149999999995 30.763900000000014),-88.09149999999995,30.763900000000014
Semmes First Baptist Church,4070 Wulff Rd. E.,Semmes,36575,Mobile,POINT (-88.26084817999998 30.764000000000028),-88.26084817999998,30.764000000000028
Azalea City Church of Christ,3550 Schillinger Rd. N.,Semmes,36575,Mobile,POINT (-88.22559999999996 30.76470612000001),-88.22559999999996,30.76470612000001
Semmes Community Center,10141 Moffett Rd,Semmes,36575,Mobile,POINT (-88.30879943999999 30.793308939999978),-88.30879943999999,30.793308939999978
Blount High School,5450 Lott Rd,Eight Mile,36613,Mobile,POINT (-88.24966838 30.804451219999965),-88.24966838,30.804451219999965
Saraland Civic Center,716 Mae St.,Saraland,36571,Mobile,POINT (-88.09279999999995 30.805436510000042),-88.09279999999995,30.805436510000042
The River,5610 McCrary Rd,Semmes,36575,Mobile,POINT (-88.25929999999995 30.807906899999985),-88.25929999999995,30.807906899999985
Shelton Beach Road Baptist Church (Gymnasium),401 Shelton Beach Rd,Saraland,36571,Mobile,POINT (-88.0816 30.819699999999997),-88.0816,30.819699999999997
Destination Church,1601 Celeste Rd.,Saraland,36571,Mobile,POINT (-88.1109 30.8356),-88.1109,30.8356
J. E. Turner Elementary School,8361 Lott Rd.,Wilmer,36587,Mobile,POINT (-88.27651429 30.864857140000016),-88.27651429,30.864857140000016
Turnerville Baptist Church,13882 Roberts Rd.,Chunchula,36521,Mobile,POINT (-88.12733540999999 30.979400000000027),-88.12733540999999,30.979400000000027
McDavid Jones Elementary School,16250 Hwy. 45 South,Citronelle,36522,Mobile,POINT (-88.2317 31.031252010000024),-88.2317,31.031252010000024
Bethel Baptist Church,16641 Prine Rd,Citronelle,36522,Mobile,POINT (-88.34058086999997 31.03671797000002),-88.34058086999997,31.03671797000002
Memorial Baptist Church,19699 Mobile St,Citronelle,36522,Mobile,POINT (-88.23260000000005 31.099899999999995),-88.23260000000005,31.099899999999995
Charity Chapel Fire House,14003 John Johnston Rd,Citronelle,36522,Washington,POINT (-88.20041455000003 31.165016599999987),-88.20041455000003,31.165016599999987
Fairford Fire House,5658 Fairford Rd,McIntosh,36553,Washington,POINT (-88.0976 31.188699999999972),-88.0976,31.188699999999972
Deer Park Fire House,374 Deer Park Burbank Rd,Deer Park,36529,Washington,POINT (-88.32530000000004 31.217100000000034),-88.32530000000004,31.217100000000034
Deer Park Comm. Center,1516 Deer Park Burbank Rd,Deer Park,36529,Washington,POINT (-88.32530000000004 31.217100000000034),-88.32530000000004,31.217100000000034
Fruitdale Fire House,14 Live Oak St,Fruitdale,36539,Washington,POINT (-88.41170000000004 31.34201545000003),-88.41170000000004,31.34201545000003
Tibbie Fire House,57 Howardtown Rd,Tibbie,36583,Washington,POINT (-88.22752508999999 31.355924260000037),-88.22752508999999,31.355924260000037
Stapleton Volunteer Fire Department,36276 State Highway 59,Stapleton,36578,Baldwin,POINT (-87.79222681000003 30.753581519999976),-87.79222681000003,30.753581519999976
Bromley Substation�?�Crossroads Volunteer Fire Department,36625 State Highway 225,Bay Minette,36507,Baldwin,POINT (-87.89041603 30.759607959999983),-87.89041603,30.759607959999983
Pine Grove Volunteer Fire Department Station No. 1,42245 Pine Grove Road,Bay Minette,36507,Baldwin,POINT (-87.75109999999998 30.84168889000002),-87.75109999999998,30.84168889000002
First Baptist Church of Satsuma,5600 Old Hwy. 43,Satsuma,36572,Mobile,POINT (-88.05679999999998 30.8515),-88.05679999999998,30.8515
Creola Assembly of God,9580 Old Hwy. 43,Creola,36525,Mobile,POINT (-88.03756882999997 30.890540919999957),-88.03756882999997,30.890540919999957
Rabun Volunteer Fire Department,53980 Rabun Road,Bay Minette,36507,Baldwin,POINT (-87.73851642000002 31.011145769999985),-87.73851642000002,31.011145769999985
Stockton Civic Building,54060 State Highway 59,Stockton,36579,Baldwin,POINT (-87.85017001999998 31.01189497999998),-87.85017001999998,31.01189497999998
Lottie Volunteer Fire Department,59591 Jack Springs Road,Atmore,36502,Baldwin,POINT (-87.63903485999998 31.095011650000007),-87.63903485999998,31.095011650000007
Tensaw Volunteer Fire Department,65123 Highway 59,Stockton,36579,Baldwin,POINT (-87.77243358999996 31.173254249999985),-87.77243358999996,31.173254249999985
Malcom,14 Johnson Orso Rd,Malcolm,36556,Washington,POINT (-87.94590000000002 31.21939835000004),-87.94590000000002,31.21939835000004
McIntosh Comm Center,1572 Patton Rd,McIntosh,36553,Washington,POINT (-88.00040761000001 31.24326140999997),-88.00040761000001,31.24326140999997
Little River Volunteer Fire Department,71250 State Highway 59,Little River,36550,Baldwin,POINT (-87.70644844999995 31.265298970000025),-87.70644844999995,31.265298970000025
McGill Mineola Methodist Church,489 Mineola Church Rd,Mineola,36480,Monroe,POINT (-87.64210000000001 31.287899999999983),-87.64210000000001,31.287899999999983
Orange Beach Community Center,27235 Canal Road,Orange Beach,36561,Baldwin,POINT (-87.55859394000001 30.294400000000024),-87.55859394000001,30.294400000000024
"Ono Island, The Harriett Cockrell Center",31692 Dolphin Drive,Orange Beach,36561,Baldwin,POINT (-87.48580000000003 30.29569512999998),-87.48580000000003,30.29569512999998
Perdido Beach Volunteer Fire Department,8450 Escambia Avenue,Elberta,36530,Baldwin,POINT (-87.50659870999998 30.347539619999978),-87.50659870999998,30.347539619999978
Lillian Community Club,34148 Widell Avenue,Lillian,36549,Baldwin,POINT (-87.44444545000003 30.410700000000027),-87.44444545000003,30.410700000000027
Elberta Civic Center,25070 Pine Street,Elberta,36530,Baldwin,POINT (-87.60229999999996 30.4156),-87.60229999999996,30.4156
Seminole Fire House,33723 Lost River Rd,Seminole,36574,Baldwin,POINT (-87.44857937000005 30.504779370000016),-87.44857937000005,30.504779370000016
Flomaton City Hall,2125 Ringold St,Flomaton,36441,Escambia,POINT (-87.25869999999999 31.001700000000035),-87.25869999999999,31.001700000000035
Flomaton Community House,628 McCurdy St,Flomaton,36441,Escambia,POINT (-87.26007784000004 31.004217459999964),-87.26007784000004,31.004217459999964
Nokomis Vol Fire Dept,162 James Rd,Atmore,36502,Escambia,POINT (-87.59707841000002 31.004724229999972),-87.59707841000002,31.004724229999972
Atmore Public Library,700 East Church St,Atmore,36502,Escambia,POINT (-87.48700000000001 31.02270000000004),-87.48700000000001,31.02270000000004
Atmore City Hall,201 E Louisville Ave,Atmore,36502,Escambia,POINT (-87.4926 31.024299999999997),-87.4926,31.024299999999997
Canoe Civic Club,12248 Highway 31,Atmore,36502,Escambia,POINT (-87.40708906000002 31.026481510000018),-87.40708906000002,31.026481510000018
Pollard Town Hall,1415 Canterbury St,Flomaton,36441,Escambia,POINT (-87.17181896999998 31.02703612999999),-87.17181896999998,31.02703612999999
Atmore County Road Dep t,351 Jack Springs Road,Atmore,36502,Escambia,POINT (-87.50096641999998 31.034966419999957),-87.50096641999998,31.034966419999957
Little Escambia Voting House,161 Mize Rd,Flomaton,36441,Escambia,POINT (-87.25533437999995 31.036199999999972),-87.25533437999995,31.036199999999972
Riverview Town Hall,4190 Highway 41,Brewton,36426,Escambia,POINT (-87.05751698 31.05379245000003),-87.05751698,31.05379245000003
New Order Baptist Church,1100 Woods Rd,Atmore,36502,Escambia,POINT (-87.50550000000003 31.067200000000042),-87.50550000000003,31.067200000000042
Dixie Volunteer Fire Dept,24654 Highway 29,Brewton,36426,Escambia,POINT (-87.03109999999997 31.08300000000003),-87.03109999999997,31.08300000000003
East Brewton Sail Ctr,706 Williamson St,East Brewton,36426,Escambia,POINT (-87.06531165000003 31.08610000000002),-87.06531165000003,31.08610000000002
Alco J D Museum,220 Alco Dr,Brewton,36426,Escambia,POINT (-87.08491854999997 31.100832729999986),-87.08491854999997,31.100832729999986
Bethel Roberts Volunteer Fire Dept,6615 Bradley Rd,ANDALUSIA,36420,Escambia,POINT (-86.84951195 31.101242629999973),-86.84951195,31.101242629999973
Poarch Sail Center,5811 Jack Springs Rd,Atmore,36502,Escambia,POINT (-87.5555 31.101599999999966),-87.5555,31.101599999999966
Pineview Voting House,11145 Foshee Rd,Flomaton,36441,Escambia,POINT (-87.1857 31.10359999999998),-87.1857,31.10359999999998
Rock Hill/Ridge Road Vol Fire Dept,Ridge Rd,Brewton,36426,Escambia,POINT (-87.03910000000002 31.105200000000025),-87.03910000000002,31.105200000000025
Little Rock Store,8580 Robinsonville Rd,Atmore,36502,Escambia,POINT (-87.38900400999997 31.115008020000015),-87.38900400999997,31.115008020000015
Bradley/Rock Creek Volunteer Fire Dept,1507 Bradley Rd,ANDALUSIA,36420,Escambia,POINT (-86.81569999999996 31.119100000000014),-86.81569999999996,31.119100000000014
Kirkland/No Brewton,1010-B Douglas Ave,Brewton,36426,Escambia,POINT (-87.06859999999998 31.12019999999999),-87.06859999999998,31.12019999999999
Appleton Volunteer Fire Dept,1009 Appleton Rd,Brewton,36426,Escambia,POINT (-87.07420000000005 31.14179999999999),-87.07420000000005,31.14179999999999
Damascus/Bpykin School,13573 Highway 29,Brewton,36426,Escambia,POINT (-86.88312955000002 31.14708615000003),-86.88312955000002,31.14708615000003
Huxford Masonic Lodge,626 Co Rd 30,Atmore,36502,Escambia,POINT (-87.54082228999997 31.164625679999972),-87.54082228999997,31.164625679999972
McCullough Vol Fire Dept,1060 McCullough Rd,Atmore,36502,Escambia,POINT (-87.53532041000001 31.166700000000006),-87.53532041000001,31.166700000000006
Wallace Methodist Church,2470 Wallace Rd,Brewton,36426,Escambia,POINT (-87.22226623 31.209900000000005),-87.22226623,31.209900000000005
Barnett's Crossroads Vol Fire Dept,700 Barnett Hwy,Brewton,36426,Escambia,POINT (-87.30980000000002 31.214299999999998),-87.30980000000002,31.214299999999998
OLD CASTLEBERRY NUTRITION CENTER,2326 CLEVELAND AVENUE,CASTLEBERRY,36432,Conecuh,POINT (-87.02992124999996 31.29770000000002),-87.02992124999996,31.29770000000002
CASTLEBERRY FIRE DEPARTMENT,85 STRAWBERRY STREET,CASTLEBERRY,36432,Conecuh,POINT (-87.02120000000001 31.301600000000033),-87.02120000000001,31.301600000000033
SANDCUTT FIRE DEPARTMENT,74 APPLETON ROAD,REPTON,36475,Conecuh,POINT (-87.12180819 31.317595089999998),-87.12180819,31.317595089999998
NAZARENE BAPTIST CHURCH,2251 NYMPH ROAD,CASTLEBERRY,36432,Conecuh,POINT (-86.94529999999996 31.36539999999998),-86.94529999999996,31.36539999999998
Choctaw Bluff Alma Fire Station,361 Choctaw Bluff Road,Jackson,36545,Clarke,POINT (-87.75046733000003 31.432923780000014),-87.75046733000003,31.432923780000014
Gainestown - Good Hope AME Church,16092 Walker Springs Road,Gainestown,36540,Clarke,POINT (-87.69269999999999 31.45480000000004),-87.69269999999999,31.45480000000004
Chatom Courthouse,45 Court St,Chatom,36518,Washington,POINT (-88.25610000000005 31.46629999999996),-88.25610000000005,31.46629999999996
Walker Springs Overstreet Grocery,6824 Walker Springs Rd,Gainestown,36540,Clarke,POINT (-87.74940000000001 31.48859999999997),-87.74940000000001,31.48859999999997
Laton Hill Fire House,55 Nathan Jordan Rd,Chatom,36518,Washington,POINT (-88.36949669999998 31.48958232999998),-88.36949669999998,31.48958232999998
Leroy Fire House,26315 Hwy 43,Leroy,36548,Washington,POINT (-87.97148367000004 31.500416639999976),-87.97148367000004,31.500416639999976
Jackson City Hall,400 Commerce Street,Jackson,36545,Clarke,POINT (-87.89560000000002 31.50779999999999),-87.89560000000002,31.50779999999999
Jackson Downtown Fire Station,101 East Church Street,Jackson,36545,Clarke,POINT (-87.89310000000002 31.510299999999983),-87.89310000000002,31.510299999999983
Yarbo Fire House,6865 Beaver  Dam Rd,Millry,36558,Washington,POINT (-88.27971407999998 31.547592959999996),-88.27971407999998,31.547592959999996
Jackson Skipper Fire Station,3725 Highway 43 North,Jackson,36545,Clarke,POINT (-87.87858687000002 31.55050302999999),-87.87858687000002,31.55050302999999
Copeland Fire House,137 Sol Dearmon Rd,Millry,36558,Washington,POINT (-88.4242 31.563655410000028),-88.4242,31.563655410000028
Morning Star Church #2,466 Morning Star Road,Whatley,36482,Clarke,POINT (-87.67060000000001 31.625899999999977),-87.67060000000001,31.625899999999977
Millry Fire House,57 5th Avenue,Millry,36558,Washington,POINT (-88.31518061000004 31.635000000000005),-88.31518061000004,31.635000000000005
Jackson National Guard Armory,2405 Coffeeville Rd,Jackson,36545,Clarke,POINT (-87.93385881 31.637723490000017),-87.93385881,31.637723490000017
Whatley - Horeb Baptist Church,687 Main Street,Whatley,36482,Clarke,POINT (-87.71469999999995 31.650300000000012),-87.71469999999995,31.650300000000012
Hellwestern Volunteer Fire Dept,755 Allen Rd,Grove Hill,36451,Clarke,POINT (-87.77936626999998 31.668976329999957),-87.77936626999998,31.668976329999957
Winn-Zimco Fire Station,3011 Berry's Chapel Road,Jackson,36545,Clarke,POINT (-87.9089 31.67039999999998),-87.9089,31.67039999999998
Grove Hill Old Engineers Building,146 Clark Street,Grove Hill,36451,Clarke,POINT (-87.77565433999999 31.707646739999987),-87.77565433999999,31.707646739999987
Grove Hill Town Hall,111 South Church St,Grove Hill,36451,Clarke,POINT (-87.77509166999998 31.711008330000038),-87.77509166999998,31.711008330000038
Coffeeville Town Hall,22974 Highway 69,Coffeeville,36524,Clarke,POINT (-88.08940000000001 31.76003673),-88.08940000000001,31.76003673
Chilton - Hopewell Church,15620 Highway 154,Grove Hill,36451,Clarke,POINT (-87.8485 31.779400000000027),-87.8485,31.779400000000027
Springfield Methodist Protestant Church,3087 Sandflat Road,Thomasville,36784,Clarke,POINT (-87.75465204999998 31.828208399999994),-87.75465204999998,31.828208399999994
Opine - Tallahata Springs,12070 Tallahatta Springs Road,Thomasville,36784,Clarke,POINT (-87.92490000000002 31.9031),-87.92490000000002,31.9031
Thomasville Civic Center,559 West Front Street,Thomasville,36784,Clarke,POINT (-87.73490000000002 31.918587519999978),-87.73490000000002,31.918587519999978
Thomasville Bashi Road Fire Station,1501 Bashi Road,Thomasville,36784,Clarke,POINT (-87.7404 31.930799999999962),-87.7404,31.930799999999962
Bashi Methodist Church,8849 Bashi Road,Thomasville,36784,Clarke,POINT (-87.85798485 31.970700000000033),-87.85798485,31.970700000000033
Nicholsville Baptist Church,6437 Nicholsville Rd,Sweetwater,36782,Marengo,POINT (-87.87939999999998 32.019000000000034),-87.87939999999998,32.019000000000034
Putnam,3550 AL Hwy 69,Putnam,36784,Marengo,POINT (-88.03150000000001 32.020640000000014),-88.03150000000001,32.020640000000014
Walnut Grove Missionary Church,43369 Highway 69,Thomasville,36784,Clarke,POINT (-88.03150000000001 32.04300000000001),-88.03150000000001,32.04300000000001
Dixons Mills Volunteer Fire Dept.,3846 Co Rd 6,Dixons Mills,36736,Marengo,POINT (-87.79105330000002 32.058400000000034),-87.79105330000002,32.058400000000034
Surginer Volunteer Fire Dept,6279 Co Rd 55,Magnolia,36754,Marengo,POINT (-87.72329713000003 32.06992951),-87.72329713000003,32.06992951
Sweetwater Town Hall,31380 AL Hwy 10,Sweetwater,36782,Marengo,POINT (-87.87559999999998 32.09440000000001),-87.87559999999998,32.09440000000001
Nanafalia Mini Mall,198 Old Hwy 10,Nanafia,36734,Marengo,POINT (-88.02499999999998 32.125899999999966),-88.02499999999998,32.125899999999966
Magnolia Community Center,5320 Co Rd 30,Magnolia,36754,Marengo,POINT (-87.66175086000004 32.13619999999999),-87.66175086000004,32.13619999999999
Myrtlewood Community Center,208 N Magnolia St,Myrtlewood,36763,Marengo,POINT (-87.94999999999997 32.25229999999996),-87.94999999999997,32.25229999999996
Thomaston Town Hall,154 Main St,Thomaston,36783,Marengo,POINT (-87.6242 32.267251020000046),-87.6242,32.267251020000046
